iter	Logloss
0	0.691287682
1	0.6893896379
2	0.6875147437
3	0.6857613924
4	0.6840394471
5	0.6823115707
6	0.6805615569
7	0.6789103112
8	0.6773266651
9	0.6757678626
10	0.6742372224
11	0.6727237383
12	0.6712385978
13	0.6697325575
14	0.6682651356
15	0.6668258698
16	0.6654308725
17	0.6640543563
18	0.6627090524
19	0.6613732547
20	0.6600798942
21	0.658788515
22	0.6575366043
23	0.6563039122
24	0.6550821825
25	0.6539188962
26	0.6527917284
27	0.6516314796
28	0.6504772869
29	0.6493451817
30	0.6482179077
31	0.6471720768
32	0.6461721457
33	0.6451672834
34	0.6441497274
35	0.6431755962
36	0.6421888275
37	0.6412496898
38	0.6402745335
39	0.6393253708
40	0.6384484452
41	0.63750097
42	0.6366228506
43	0.6357519624
44	0.6348576057
45	0.63399168
46	0.6331485041
47	0.6323078032
48	0.6315289582
49	0.6307505132
50	0.6299687057
51	0.6291933107
52	0.6284224093
53	0.6276700829
54	0.6269577562
55	0.6262183672
56	0.6254885406
57	0.6247961951
58	0.6241146807
59	0.6234172101
60	0.6227511144
61	0.6220901999
62	0.6214570164
63	0.6208208642
64	0.6202042994
65	0.619564241
66	0.618937995
67	0.618312999
68	0.6177436214
69	0.6171453628
70	0.6165772039
71	0.6160070951
72	0.6154523549
73	0.6149855203
74	0.6144536487
75	0.6139636831
76	0.613441924
77	0.6129383772
78	0.6124298492
79	0.6119648334
80	0.6114936864
81	0.6109859334
82	0.610547505
83	0.6100923579
84	0.6096476045
85	0.609225351
86	0.6088069911
87	0.6083695877
88	0.607928103
89	0.6074748122
90	0.60702404
91	0.6065982178
92	0.6062187577
93	0.6058021666
94	0.6054271565
95	0.60508544
96	0.6047129798
97	0.604375657
98	0.6040040719
99	0.6036455804
