iter	Passed	Remaining
0	25	2516
1	53	2619
2	80	2617
3	107	2574
4	127	2426
5	158	2483
6	187	2490
7	218	2518
8	236	2393
9	259	2333
10	281	2276
11	301	2211
12	316	2115
13	337	2075
14	358	2030
15	377	1983
16	398	1945
17	417	1901
18	435	1858
19	454	1818
20	474	1784
21	495	1756
22	514	1721
23	532	1685
24	550	1650
25	564	1606
26	582	1574
27	598	1540
28	616	1509
29	634	1481
30	653	1454
31	676	1438
32	689	1399
33	704	1368
34	731	1359
35	754	1340
36	778	1324
37	792	1293
38	817	1278
39	843	1265
40	854	1229
41	878	1213
42	896	1188
43	930	1184
44	963	1177
45	984	1155
46	1007	1135
47	1028	1114
48	1042	1084
49	1061	1061
50	1082	1040
51	1103	1018
52	1125	998
53	1147	977
54	1181	966
55	1205	947
56	1228	927
57	1250	905
58	1277	887
59	1307	871
60	1332	852
61	1365	836
62	1389	815
63	1413	795
64	1428	769
65	1451	747
66	1471	724
67	1490	701
68	1509	678
69	1527	654
70	1547	632
71	1572	611
72	1600	591
73	1609	565
74	1629	543
75	1647	520
76	1667	498
77	1724	486
78	1753	466
79	1770	442
80	1799	422
81	1823	400
82	1837	376
83	1858	354
84	1875	331
85	1890	307
86	1904	284
87	1923	262
88	1944	240
89	1964	218
90	1983	196
91	2003	174
92	2018	151
93	2036	129
94	2055	108
95	2069	86
96	2089	64
97	2103	42
98	2121	21
99	2136	0
